algo,dataset_key,metric,k,latency_ms_avg,latency_ms_p95,recall_at_k,build_time_s,ram_rss_mb_before_build,ram_rss_mb_after_build,visited_nodes,edges,combo_dir
ball_prune,toy_gaussian_N100_D2_nq10_seed42,l2,1,0.6921,1.2914,1.0,0.2274,54.64,54.72,,300,results/run-20250825-202414/ball_prune__toy_gaussian_N100_D2_nq10_seed42/k1
ball_prune,toy_gaussian_N100_D2_nq10_seed42,l2,10,1.9766,3.0261,1.0,0.2274,54.64,54.72,,300,results/run-20250825-202414/ball_prune__toy_gaussian_N100_D2_nq10_seed42/k10
