algo,dataset_key,metric,k,latency_ms_avg,latency_ms_p95,recall_at_k,build_time_s,ram_rss_mb_before_build,ram_rss_mb_after_build,visited_nodes,edges,combo_dir
ball_prune,toy_gaussian_N2000_D64_nq200_seed42,l2,1,16.4224,17.2711,1.0,182.2386,65.75,22.07,,29467,results/run-20250818-204051/ball_prune__toy_gaussian_N2000_D64_nq200_seed42/k1
ball_prune,toy_gaussian_N2000_D64_nq200_seed42,l2,10,16.7649,19.0904,1.0,182.2386,65.75,22.07,,29467,results/run-20250818-204051/ball_prune__toy_gaussian_N2000_D64_nq200_seed42/k10
