algo,dataset_key,metric,k,latency_ms_avg,latency_ms_p95,recall_at_k,build_time_s,ram_rss_mb_before_build,ram_rss_mb_after_build,visited_nodes_avg,visited_nodes_p95,visited_nodes_rel_avg,edges,avg_out_degree,index_size_bytes,combo_dir
ball_prune,toy_gaussian_N100_D2_nq10_seed42,l2,1,0.7643,1.4834,1.0,0.2322,52.65,52.76,7.5,18.0,0.075,300,3.0,2800,results/run-20250825-203358/ball_prune__toy_gaussian_N100_D2_nq10_seed42/k1
ball_prune,toy_gaussian_N100_D2_nq10_seed42,l2,10,9.0552,20.1974,1.0,0.2322,52.65,52.76,30.8,51.599999999999966,0.308,300,3.0,2800,results/run-20250825-203358/ball_prune__toy_gaussian_N100_D2_nq10_seed42/k10
